Date,Close,High,Low,Open,Volume
2022-12-19,442.04541015625,444.88814591288184,440.62404227793405,442.04541015625,21075559
2022-12-20,433.5171203613281,442.5191152103612,431.1481743484247,440.6239584000384,31139235
2022-12-21,434.9384765625,438.72879008374184,433.0433198018791,435.88605494281046,36182644
2022-12-22,443.4666748046875,444.4142531696548,439.67636134481836,442.0453072572366,14047382
2022-12-23,431.148193359375,434.4647179236779,431.148193359375,433.5171394767342,24927413
2022-12-26,432.5695495605469,433.04333877145655,429.72681429508873,430.2006035059984,8793306
2022-12-27,433.04339599609375,438.2550780047995,433.04339599609375,433.9909745431312,10264001
2022-12-28,427.3578186035156,428.3053969152751,422.61992704471834,427.3578186035156,32578949
2022-12-29,422.6199645996094,425.9364889854807,419.303440213738,420.72480780768285,23020759
2022-12-30,424.9888916015625,432.56951843057584,424.9888916015625,431.1481509001359,21683478
2023-01-03,429.2530517578125,429.72684099816325,419.77726695079673,422.6200023929015,14885824
2023-01-04,425.9364929199219,431.1481741458609,424.9889145152057,425.9364929199219,19188422
2023-01-05,434.4646911621094,435.4122695506854,431.1481668020933,434.9384803563974,23549581
2023-01-06,434.4646911621094,435.4122695506854,431.1481668020933,431.1481668020933,20886011
2023-01-09,455.78521728515625,455.78521728515625,442.99290869191384,443.46669789907094,46666263
2023-01-10,460.5231018066406,461.4706802054197,457.68036661030334,460.5231018066406,32646014
2023-01-11,459.10174560546875,462.4182700835268,456.732799549713,461.4706916612245,21051115
2023-01-12,460.9969177246094,462.41828540515803,458.62797159036165,461.9444961783085,20963689
2023-01-13,473.7891845703125,482.3173898925781,472.8416062011719,480.42223315429686,77606949
2023-01-16,478.527099609375,481.3698348545792,476.63194277923884,479.47467802444305,34373918
2023-01-17,476.6319580078125,477.57953645315604,473.31543344911,477.57953645315604,27770329
2023-01-30,514.53515625,514.53515625,506.0069492403315,513.5875776933701,124428936
2023-01-31,494.63592529296875,509.79717970807894,493.68834689202436,508.84960130713455,72530854
2023-02-01,502.216552734375,505.05928793853184,494.6359255232901,504.1117095371462,33710990
